,name,score,rank,popularity,members,date,channel
185,Tensei shitara Slime Datta Ken,8.13,#405,#89,"1,154,849",Fall 2018,TV
186,Bungou Stray Dogs,7.82,#848,#91,"1,132,767",Spring 2016,TV
187,Kaichou wa Maid-sama!,8.02,#548,#98,"1,114,545",Spring 2010,TV
188,Samurai Champloo,8.5,#117,#99,"1,094,214",Spring 2004,TV
189,Dragon Ball Z,8.15,#376,#100,"1,088,967",Spring 1989,TV
190,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.65,#64,#106,"1,064,066",Spring 2020,TV
191,Kuroshitsuji,7.68,#1154,#107,"1,061,510",Fall 2008,TV
192,Nisekoi,7.6,#1341,#108,"1,052,513",Winter 2014,TV
193,Ouran Koukou Host Club,8.16,#362,#117,"1,004,722",Spring 2006,TV
194,Tonari no Kaibutsu-kun,7.49,#1718,#122,"954,303",Fall 2012,TV
195,K-On!,7.85,#796,#124,"944,000",Spring 2009,TV
196,Gintama,8.95,#16,#127,"938,547",Spring 2006,TV
197,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.23,#300,#130,"928,207",Spring 2015,TV
198,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,#121,#131,"924,901",Spring 2016,TV
199,Date A Live,7.17,#3108,#137,"908,562",Spring 2013,TV
200,Dragon Ball,7.96,#617,#140,"904,810",Winter 1986,TV
201,Golden Time,7.75,#981,#141,"899,920",Fall 2013,TV
202,Prison School,7.63,#1280,#145,"883,332",Summer 2015,TV
203,Shingeki no Kyojin,8.53,#105,#1,"3,401,578",Spring 2013,TV
204,Fullmetal Alchemist: Brotherhood,9.14,#1,#3,"2,868,142",Spring 2009,TV
205,Kimi no Na wa.,8.87,#24,#11,"2,341,059",NA,Movie
206,Shingeki no Kyojin Season 2,8.5,#118,#12,"2,298,766",Spring 2017,TV
207,Steins;Gate,9.08,#5,#13,"2,225,913",Spring 2011,TV
208,Code Geass: Hangyaku no Lelouch,8.7,#50,#17,"1,976,759",Fall 2006,TV
209,Toradora!,8.11,#438,#18,"1,964,127",Fall 2008,TV
210,Koe no Katachi,8.96,#15,#19,"1,950,367",NA,Movie
211,Shingeki no Kyojin Season 3,8.62,#74,#20,"1,942,875",Summer 2018,TV
212,Shigatsu wa Kimi no Uso,8.67,#57,#21,"1,923,015",Fall 2014,TV
213,Re:Zero kara Hajimeru Isekai Seikatsu,8.25,#275,#23,"1,911,745",Spring 2016,TV
214,Angel Beats!,8.08,#466,#24,"1,891,714",Spring 2010,TV
215,Shingeki no Kyojin Season 3 Part 2,9.08,#3,#31,"1,821,013",Spring 2019,TV
216,Shingeki no Kyojin: The Final Season,8.85,#26,#46,"1,570,927",Winter 2021,TV
217,Code Geass: Hangyaku no Lelouch R2,8.91,#20,#47,"1,558,951",Spring 2008,TV
218,Death Parade,8.17,#354,#49,"1,541,285",Winter 2015,TV
219,Neon Genesis Evangelion,8.34,#201,#50,"1,539,612",Fall 1995,TV
220,Violet Evergarden,8.67,#58,#51,"1,492,618",Winter 2018,TV
221,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.33,#207,#56,"1,451,804",Spring 2011,TV
222,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.28,#252,#57,"1,448,376",Fall 2018,TV
223,Darling in the FranXX,7.24,#2776,#61,"1,409,098",Winter 2018,TV
224,Charlotte,7.75,#975,#64,"1,399,075",Summer 2015,TV
225,Elfen Lied,7.51,#1630,#66,"1,375,382",Summer 2004,TV
226,Fullmetal Alchemist,8.12,#418,#70,"1,346,103",Fall 2003,TV
227,Tate no Yuusha no Nariagari,8.02,#536,#74,"1,321,158",Winter 2019,TV
228,Clannad,8.01,#552,#77,"1,291,373",Fall 2007,TV
229,Kakegurui,7.26,#2700,#81,"1,259,191",Summer 2017,TV
230,Owari no Seraph,7.49,#1714,#88,"1,160,973",Spring 2015,TV
231,Sakura-sou no Pet na Kanojo,8.11,#435,#93,"1,127,474",Fall 2012,TV
232,Made in Abyss,8.68,#53,#94,"1,124,760",Summer 2017,TV
233,Howl no Ugoku Shiro,8.66,#61,#96,"1,119,478",NA,Movie
